character,romaji,meaning
彼女が眠っている事を知っている。,kanojo ga nemutsu te iru koto wo shitsu te iru .,I know she is sleeping.
彼女が妙な帽子をかぶっているので少年たちは彼女をからかった。,kanojo ga myou na boushi wo kabutsu te iru no de shounen tachi ha kanojo wo karakatsu ta .,They made fun of her because she had a funny hat on.
彼女が味方してくれてとてもうれしかった。,kanojo ga mikata shi te kure te totemo ureshikatsu ta .,I was very glad that she took my side.
彼女が僕を狂わせる。,kanojo ga boku wo kuruwa seru .,She drives me mad.
彼女が僕より数学が得意なのを僕は知った。,kanojo ga boku yori suugaku ga tokui na no wo boku ha shitsu ta .,I discovered that she was better at math than I.
彼女が僕の申込を受諾してくれるように切望していた。,kanojo ga boku no moushikomi wo judaku shi te kureru you ni setsubou shi te i ta .,I was anxious that she accept my offer.
彼女が僕の手をつかんだ。,kanojo ga boku no te wo tsukan da .,She got me by the hand.
彼女が僕のこと好きだなんて思いもしなかった。,kanojo ga boku no koto suki da nante omoi mo shi nakatsu ta .,It never occurred to me that she loved me.
彼女が僕にプレゼントをくれた。,kanojo ga boku ni purezento wo kure ta .,She gave me a present.
彼女が訪ねた医者は有名だ。,kanojo ga tazune ta isha ha yuumei da .,The doctor she visited is famous.
彼女が壁にかかっている絵を描いた。,kanojo ga kabe ni kakatsu te iru e wo egai ta .,She painted the picture which is on the wall.
彼女が物事をてきぱきできないのを驚いた。,kanojo ga monogoto wo tekipaki deki nai no wo odoroi ta .,I was surprised at her inability to do things promptly.
彼女が腹を立てるなんて彼は思いもしなかった。,kanojo ga hara wo tateru nante kare ha omoi mo shi nakatsu ta .,It never occurred to him that she would get angry.
彼女が部屋に入ると彼はベッドで上半身を起こした。,kanojo ga heya ni iru to kare ha beddo de ue hanshin wo okoshi ta .,"As she entered the room, he sat up in his bed."
彼女が部屋に入ると彼は立ち上がった。,kanojo ga heya ni iru to kare ha tachiagatsu ta .,"When she entered the room, he got to his feet."
彼女が腹を立てたのはいったいなぜだろう。,kanojo ga hara wo tate ta no ha ittai naze darou .,Why was it that she got angry?
彼女が部屋に入ると私はすぐに立ち上がり、深々と頭を下げた。,"kanojo ga heya ni iru to watashi ha sugu ni tachiagari , shinshin to atama wo sage ta .","As soon as she entered the room, I rose to my feet and made a deep bow."
彼女が部屋に入ってきた。,kanojo ga heya ni itsutsu te ki ta .,She came into the room.
彼女が部屋に帰ってみると、ダイヤの指輪は消えていた。,"kanojo ga heya ni kaetsu te miru to , daiya no yubiwa ha kie te i ta .","When she returned to her room, the diamond ring was gone."
彼女が部屋に入るのを見た。,kanojo ga heya ni iru no wo ken ta .,I saw her enter the room.
彼女が部屋にはいったとき、ささやきが聞こえた。,"kanojo ga heya ni haitsu ta toki , sasayaki ga kikoe ta .",There was a murmur when she entered the room.
彼女が部屋ですすり泣くのが聞こえた。,kanojo ga heya de susurinaku no ga kikoe ta .,I could hear her sobbing in her bedroom.
彼女が部屋から出て行くのを見た。,kanojo ga heya kara shutsu te iku no wo ken ta .,I saw her leaving the room.
彼女が父親を尊敬するのはごく当然だ。,kanojo ga chichioya wo sonkei suru no ha goku touzen da .,Well may she admire her father.
彼女が父親の死の悲しみから立ち直るには長い時間がかかるだろう。,kanojo ga chichioya no shi no kanashimi kara tachinaoru ni ha nagai jikan ga kakaru darou .,It'll be a long time before she gets over her father's death.
彼女が不誠実であるという事実は隠せない。,kanojo ga fu seijitsu de aru to iu jijitsu ha kakuse nai .,There's no disguising the fact that she is dishonest.
彼女が貧しいからと言って不正直だと言う事にはならない。,kanojo ga mazushii kara to itsutsu te fu shoujiki da to iu koto ni ha nara nai .,"Just because she is poor, it does not follow that she is dishonest."
彼女が病気なのをどうして知りましたか。,kanojo ga byouki na no wo dou shi te shiri mashi ta ka .,How did you get to know she was ill?
彼女が病気で入院しているということに思いつかなかった。,kanojo ga byouki de nyuuin shi te iru to iu koto ni omoitsuka nakatsu ta .,It never occurred to me that she was ill in hospital.
彼女が病気だと言う可能性を残念ながら捨て切れない。,kanojo ga byouki da to iu kanou sei wo zannen nagara sute kire nai .,I'm afraid we can't rule out the possibility that she may have the disease.
彼女が病気だと言うことを考慮に入れるべきです。,kanojo ga byouki da to iu koto wo kouryo ni ireru beki desu .,You should take her illness into consideration.
彼女が病気だとは気の毒です。,kanojo ga byouki da to ha kinodoku desu .,It's too bad she's ill.
彼女が病気だという事実は私をとても心配させる。,kanojo ga byouki da to iu jijitsu ha watashi wo totemo shinpai sa seru .,The fact that she is ill worries me a lot.
彼女が病気だということは明らかだ。,kanojo ga byouki da to iu koto ha akiraka da .,That she is ill is obvious.
彼女が病院までついて来てくれた。,kanojo ga byouin made tsui te rai te kure ta .,She accompanied me to the hospital.
彼女が美人だと思っているのは私たちだけだ。,kanojo ga bijin da to omotsu te iru no ha watashi tachi dake da .,We are alone in believing that she is a beautiful woman.
彼女が美しいので彼は感嘆の声をあげた。,kanojo ga utsukushii no de kare ha kantan no koe wo age ta .,He exclaimed that she was beautiful.
彼女が非常に有能であることは否定できない。,kanojo ga hijou ni yuunou de aru koto ha hitei deki nai .,There is no denying that she is very efficient.
彼女が疲れているのは見て明らかだった。,kanojo ga tsukare te iru no ha ken te akiraka datsu ta .,That she was tired was plain to see.
彼女が疲れているので、私たちはしばらく休んだ方がよい。,"kanojo ga tsukare te iru no de , watashi tachi ha shibaraku yasun da hou ga yoi .","Seeing that she is tired, we had better stop for a while."
彼女が彼を怒るのも当然である。,kanojo ga kare wo ikaru no mo touzen de aru .,It is quite natural that she should get angry with him.
彼女が彼を助ける巡り合わせになった。,kanojo ga kare wo tasukeru meguriawase ni natsu ta .,The lot fell to her to help him.
彼女が彼を見てどうしてしかめつらをしたのか分からなかった。,kanojo ga kare wo ken te dou shi te shikametsura wo shi ta no ka wakara nakatsu ta .,I couldn't understand why she frowned at him.
彼女が彼を悪く言うのももっともだ。,kanojo ga kare wo waruku iu no mo mottomo da .,She may well speak ill of him.
彼女が彼の名前を言ったのでピンと来た。,kanojo ga kare no namae wo itsutsu ta no de pin to rai ta .,Her mention of his name rang a bell.
彼女が彼の申し出を断るのは当然だと思う。,kanojo ga kare no moushide wo kotowaru no ha touzen da to omou .,I think it natural for her to decline his offer.
彼女が彼の申し込みを拒絶したはずがない。,kanojo ga kare no moushikomi wo kyozetsu shi ta hazu ga nai .,She cannot have turned down his offer.
彼女が彼の現在の奥さんだ。,kanojo ga kare no genzai no oku san da .,She is his present wife.
彼女が彼を見送りにこなかったのも不思議ではない。二人は別れたんだ。,kanojo ga kare wo miokuri ni ko nakatsu ta no mo fushigi de ha nai . futari ha wakare ta n da .,No wonder she didn't show up to see him off. They broke up.
彼女が彼と結婚してからもう十年になる。,kanojo ga kare to kekkon shi te kara mou juu nen ni naru .,She has been married to him for a decade now.
彼女が彼と結婚したと聞いて私達は失望した。,kanojo ga kare to kekkon shi ta to kii te watashi tooru ha shitsubou shi ta .,We were disappointed to hear that she had married him.
彼女が彼との出会いを面白く話してくれた。,kanojo ga kare to no deai wo omoshiroku hanashi te kure ta .,She gave me a humorous account of her encounter with him.
彼女が髪を切ったのは短い髪型が好きだからで、失恋したからではない。,"kanojo ga kami wo kitsu ta no ha mijikai kamigata ga suki da kara de , shitsuren shi ta kara de ha nai .","She had her hair cut because she liked shorter hair, not because she had lost her love."
彼女が発ったその日に彼は到着した。,kanojo ga hatsutsu ta sono nichi ni kare ha touchaku shi ta .,He arrived the day she left.
彼女が買ったものはとても高価だった。,kanojo ga katsu ta mono ha totemo kouka datsu ta .,What she bought was very expensive.
彼女が破滅するのを黙って見ていられない。,kanojo ga hametsu suru no wo damatsu te ken te i rare nai .,I can't see her ruin her whole life.
彼女が入院して一ヶ月になる。,kanojo ga nyuuin shi te ichi kegatsu ni naru .,She has been in hospital for a month.
彼女が入院してもう二ヶ月になる。,kanojo ga nyuuin shi te mou ni kegatsu ni naru .,She has been hospitalized for 2 months already.
彼女が入ってきた時、私たちは食事を終えていました。,"kanojo ga itsutsu te ki ta toki , watashi tachi ha shokuji wo oe te i mashi ta .","When she came inside, we had finished eating dinner."
彼女が二度結婚したことは本当だった。,kanojo ga ni do kekkon shi ta koto ha hontou datsu ta .,It was true that she had got married twice.
彼女が二度と口をきいてくれないとしても、それは自業自得さ。,"kanojo ga ni do to kuchi wo kii te kure nai to shi te mo , sore ha jigou jitoku sa .",It will serve you right if she never speaks to you again.
彼女が二メートルリードしている。,kanojo ga ni meetoru riido shi te iru .,She is leading by two meters.
彼女が突然来たので彼は外出することができなかった。,kanojo ga totsuzen rai ta no de kare ha gaishutsu suru koto ga deki nakatsu ta .,Her sudden arrival prevented him from going out.
彼女が突然死んだという知らせが青天のへきれきのように訪れた。,kanojo ga totsuzen shin da to iu shirase ga seiten no hekireki no you ni otozure ta .,The news of her sudden death came like a bolt from the blue.
彼女が突然玄関に姿を見せたので我々はびっくりした。,kanojo ga totsuzen genkan ni sugata wo mise ta no de wareware ha bikkuri shi ta .,Her sudden appearance in the doorway surprised us.
彼女が独身だとはうれしいね。,kanojo ga dokushin da to ha ureshii ne .,I'm glad to hear that she is unmarried.
彼女が働く必要はない。,kanojo ga hataraku hitsuyou ha nai .,There is no need for her to work.
彼女が頭の良い息子を自慢するのも無理はない。,kanojo ga atama no yoi musuko wo jiman suru no mo muri ha nai .,She may well be proud of her smart son.
彼女が到着したら、お知らせします。,"kanojo ga touchaku shi tara , o shirase shi masu .",I'll let you know when she arrives.
彼女が到着したことを彼に知らせた。,kanojo ga touchaku shi ta koto wo kare ni shira se ta .,I informed him of her arrival.
彼女が当惑したことに赤ん坊はとうとう泣きやまなかった。,kanojo ga touwaku shi ta koto ni akanbou ha toutou nakiyama nakatsu ta .,"To her embarrassment, her baby never stopped crying."
彼女が怒るのも当然だ。,kanojo ga ikaru no mo touzen da .,It is quite natural for her to get angry.
彼女が怒るのは極めて当然だ。,kanojo ga ikaru no ha kiwamete touzen da .,It is quite natural for her to get angry.
彼女が怒るのももっともだ。,kanojo ga ikaru no mo mottomo da .,She may well get angry.
彼女が怒った理由を教えて下さい。,kanojo ga ikatsu ta riyuu wo oshie te kudasai .,Please tell me the reason why she got angry.
彼女が電話をしている間にふろ桶があふれた。,kanojo ga denwa wo shi te iru kan ni furo oke ga afure ta .,The tub ran over while she was on the phone.
彼女が電話してきたときに、私はたまたま居合わせた。,"kanojo ga denwa shi te ki ta toki ni , watashi ha tamatama iawase ta .",It happened that I was present when she called.
彼女が電車に乗り遅れた可能性はあるでしょうか。,kanojo ga densha ni nori okure ta kanou sei ha aru deshou ka .,Might she have missed her train?
彼女が田舎道を車で走って行った。,kanojo ga inakamichi wo kuruma de hashitsu te itsu ta .,She drove a car down a country road.
彼女が通れるように彼は横へ退いてあげた。,kanojo ga toureru you ni kare ha yoko he shirizoi te age ta .,He stepped aside for her to pass.
彼女が通れるように私は脇に退いた。,kanojo ga toureru you ni watashi ha waki ni shirizoi ta .,I stepped aside for her to pass by.
彼女が通りを横切っているのが見えた。,kanojo ga touri wo yokogitsu te iru no ga mie ta .,I saw her coming across the street.
彼女が町から出ることはめったにない。,kanojo ga machi kara deru koto ha metta ni nai .,"She rarely, if ever, goes out of town."
彼女が遅刻したので私は叱りたかったが、何も言わなかった。,"kanojo ga chikoku shi ta no de watashi ha shikari takatsu ta ga , nani mo iwa nakatsu ta .","When she was late, I felt like scolding her, but I held my tongue."
彼女が遅刻したため、計画を変更した。,"kanojo ga chikoku shi ta tame , keikaku wo henkou shi ta .",We changed our plans because of her late arrival.
彼女が恥ずかしがりやなので、なおいっそう好きです。,"kanojo ga hazukashi gari ya na no de , nao issou suki desu .",I like her all the better for her shyness.
彼女が誰なのか、私にはさっぱりわからない。,"kanojo ga dare na no ka , watashi ni ha sappari wakara nai .",Who she is I have no idea.
彼女が大変興奮していたのに気づかなかったのか。,kanojo ga taihen koufun shi te i ta no ni kizuka nakatsu ta no ka .,Didn't you notice that she was very excited?
彼女が台所に入ってみると、そこには誰もいなかった。,"kanojo ga daidokoro ni itsutsu te miru to , soko ni ha dare mo i nakatsu ta .","When she entered the kitchen, no one was there."
彼女が台所から呼んでいるのが聞こえた。,kanojo ga daidokoro kara yon de iru no ga kikoe ta .,I heard her calling from the kitchen.
彼女が逮捕された理由を説明して下さい。,kanojo ga taiho sa re ta riyuu wo setsumei shi te kudasai .,Please explain the reason why she was arrested.
彼女が体が弱い事を考慮に入れなければならない。,kanojo ga karada ga yowai koto wo kouryo ni ire nakere ba nara nai .,We must allow for her poor health.
彼女が他人の悪口を言うのを聞いたことがない。,kanojo ga tanin no warukuchi wo iu no wo kii ta koto ga nai .,I've never heard her speak ill of others.
彼女が他人の悪口を言っているのを聞いた事が無い。,kanojo ga tanin no warukuchi wo itsutsu te iru no wo kii ta koto ga nai .,I've never heard her speak ill of others.
彼女が他の人よりも抜きん出ていることを私は認めている。,kanojo ga hoka no nin yori mo nukinshutsu te iru koto wo watashi ha mitome te iru .,I admit her superiority to others.
彼女が損失を補うようわれわれは要求した。,kanojo ga sonshitsu wo oginau you wareware ha youkyuu shi ta .,We demanded that she should make up for the loss.
彼女が損失を補うように我々は提案した。,kanojo ga sonshitsu wo oginau you ni wareware ha teian shi ta .,We suggested that she should make up for the loss.
彼女が息子を自慢するのも当然である。,kanojo ga musuko wo jiman suru no mo touzen de aru .,She may well be proud of her son.
彼女が息子を自慢するのももっともだ。,kanojo ga musuko wo jiman suru no mo mottomo da .,She may well be proud of her son.
彼女が息子を誇りに思うのももっともだ。,kanojo ga musuko wo hokori ni omou no mo mottomo da .,She may well be proud of her son.
彼女が息子の自慢をするのももっともだ。,kanojo ga musuko no jiman wo suru no mo mottomo da .,She may well be proud of her son.
彼女が息子のことを自慢するのももっともだ。,kanojo ga musuko no koto wo jiman suru no mo mottomo da .,She may well be proud of her son.
彼女が息子に助言しなかったら、息子は成功していなかっただろう。,"kanojo ga musuko ni jogen shi nakatsu tara , musuko ha seikou shi te i nakatsu ta darou .","If she had not advised her son, he would not have succeeded."
彼女が早く回復するのを望みます。,kanojo ga hayaku kaifuku suru no wo nozomi masu .,I hope that she will get well soon.
彼女が早く家を出たのは賢明だった。,kanojo ga hayaku ie wo shutsu ta no ha kenmei datsu ta .,It was wise of her to leave home early.
彼女が素晴らしいピアニストであるということは言うまでもない。,kanojo ga subarashii pianisuto de aru to iu koto ha iu made mo nai .,It goes without saying that she is an excellent pianist.
彼女が前の列に座っているのに気づいた。,kanojo ga mae no retsu ni suwatsu te iru no ni kizui ta .,I noticed that she sat in the front row.
彼女が前の列に座っているのに気がついた。,kanojo ga mae no retsu ni suwatsu te iru no ni ki ga tsui ta .,I noticed that she sat in the front row.
彼女が選ばれる可能性はほとんどない。,kanojo ga eraba reru kanou sei ha hotondo nai .,There is little possibility that she will be elected.
彼女が船室に入るやいなや明かりが消えた。,kanojo ga senshitsu ni iru ya ina ya akari ga kie ta .,She had hardly entered the cabin when the light went out.
彼女が絶えず不満をもらすことに彼はがっかりした。,kanojo ga tae zu fuman wo morasu koto ni kare ha gakkari shi ta .,Her constant complaints frustrated him deeply.
彼女が責任者になる人だ。,kanojo ga sekinin mono ni naru nin da .,She's going to be in charge.
彼女が青い顔色をしていたのが気になった。,kanojo ga aoi kaoiro wo shi te i ta no ga ki ni natsu ta .,It worried me that she looked pale.
彼女が誠実だなんてとんでもない。,kanojo ga seijitsu da nante tondemo nai .,She is by no means honest.
彼女が生態学に興味を示すようになったのは彼の影響である。,kanojo ga seitai gaku ni kyoumi wo shimesu you ni natsu ta no ha kare no eikyou de aru .,It was through his influence that she became interested in ecology.
彼女が生きていればなあ。,kanojo ga iki te ire ba naa .,I wish she were alive now.
彼女が正しいというのが私の意見です。,kanojo ga tadashii to iu no ga watashi no iken desu .,I am of the opinion that she is right.
彼女が成年になったら、二人は結婚することにしている。,"kanojo ga seinen ni natsu tara , futari ha kekkon suru koto ni shi te iru .","When she comes of age, they are going to get married."
彼女が親切にしてくれたお返しに花を差し上げなさい。,kanojo ga shinsetsu ni shi te kure ta o kaeshi ni hana wo sashiage nasai .,Give her some flowers in return for her kindness.
彼女が親切なのでそれだけますます彼女が好きだ。,kanojo ga shinsetsu na no de sore dake masumasu kanojo ga suki da .,I like her all the more for her kindness.
彼女が新たに教授陣に加わった人です。,kanojo ga arata ni kyouju jin ni kuwawatsu ta nin desu .,She is a new addition to the teaching staff.
彼女が新しい職についたという噂が流布している。,kanojo ga atarashii shoku ni tsui ta to iu uwasa ga rufu shi te iru .,There's a rumor abroad that she has got a new job.
彼女が新しい金持ちの彼氏が出来たと知らせてきた時、彼はほっとしました。,"kanojo ga atarashii kanemochi no kareshi ga deki ta to shira se te ki ta toki , kare ha hotto shi mashi ta .",He was relieved when she informed him that she had a rich new boyfriend.
彼女が振り向くと、誰かが彼女のあとをつけてきているのがわかった。,"kanojo ga furimuku to , dare ka ga kanojo no ato wo tsuke te ki te iru no ga wakatsu ta .",She turned around and saw someone was following her.
彼女が心配しているのは誰の目にも明らかだった。,kanojo ga shinpai shi te iru no ha dare no me ni mo akiraka datsu ta .,Her anxiety was apparent to everyone.
彼女が心に描いていた幸せのすべてが一瞬のうちに消えてしまった。,kanojo ga kokoro ni egai te i ta shiawase no subete ga isshun no uchi ni kie te shimatsu ta .,All her imaginary happiness vanished in a moment.
彼女が寝てしまったはずがない。,kanojo ga ne te shimatsu ta hazu ga nai .,She cannot have gone to bed yet.
彼女が信頼できるのは彼だけだ。,kanojo ga shinrai dekiru no ha kare dake da .,She can only trust him.
彼女が賞を取りそうだ。,kanojo ga shou wo tori sou da .,She is apt to win the prize.
彼女が乗るとすぐに、列車は駅を出発した。,"kanojo ga noru to sugu ni , ressha ha eki wo shuppatsu shi ta .","As soon as she got on the train, it pulled out of the station."
彼女が笑ったのはわたしを許したしるしだ。,kanojo ga waratsu ta no ha watashi wo yurushi ta shirushi da .,Her smile indicates that she has forgiven me.
彼女が笑うのを聞けば、彼女を少女と思うでしょう。,"kanojo ga warau no wo kike ba , kanojo wo shoujo to omou deshou .","To hear her laugh, you'd take her for a young girl."
彼女が少しも申し訳ないと思っていなかったので、彼は一層怒った。,"kanojo ga sukoshi mo moushiwake nai to omotsu te i nakatsu ta no de , kare ha issou ikatsu ta .",He was all the more angry because she wasn't in the least sorry.
彼女が助けに来てくれた。,kanojo ga tasuke ni rai te kure ta .,She came to my aid.
彼女が助けを求めて叫ぶのが聞こえた。,kanojo ga tasuke wo motome te sakebu no ga kikoe ta .,She was heard to cry for help.
彼女が助けてくれるのをいつも当てに出来る。,kanojo ga tasuke te kureru no wo itsu mo ate ni dekiru .,You can always depend upon her to help.
彼女が書いたことはある意味真実です。,kanojo ga kai ta koto ha aru imi shinjitsu desu .,What she wrote is true in a sense.
彼女が書いたことはある意味では本当です。,kanojo ga kai ta koto ha aru imi de ha hontou desu .,What she wrote is true in a sense.
彼女が出席するものと予想してパーティーにでかけた。,kanojo ga shusseki suru mono to yosou shi te paateii ni dekake ta .,I went to the party on the presumption that she would be there.
彼女が出席してくれて私たちは大喜びです。,kanojo ga shusseki shi te kure te watashi tachi ha ooyorokobi desu .,We are delighted with her presence.
彼女が出席したのでパーティーは活気づいた。,kanojo ga shusseki shi ta no de paateii ha kakki zui ta .,The party was animated by her presence.
彼女が出す指示はいつも正確だ。,kanojo ga dasu shiji ha itsu mo seikaku da .,She is exact in all the instructions she gives.
彼女が出かけないうちに連絡をとらなければなりませんでした。,kanojo ga dekake nai uchi ni renraku wo tora nakere ba nari mase n deshi ta .,We had to get in touch with her before she went out.
彼女が熟睡しているのを確かめて、彼はこっそり部屋を抜け出して行った。,"kanojo ga jukusui shi te iru no wo tashikame te , kare ha kossori heya wo nukedashi te itsu ta .","After making sure she was sound asleep, he crept out of the room and set off."
彼女が淑女であるように、彼は紳士だ。,"kanojo ga shukujo de aru you ni , kare ha shinshi da .","As she is a lady, so he is a gentleman."
彼女が授賞する見込みは十分にある。,kanojo ga jushou suru mikomi ha juubun ni aru .,She stands a good chance of winning the prize.
彼女が手伝ってくれれば、もっと仕事を早くすませられるのに。,"kanojo ga tetsudatsu te kurere ba , motto shigoto wo hayaku suma se rareru no ni .","If only she were to help, the job would be finished sooner."
彼女が手紙をくれたので、彼女の家を訪ねる手間が省けた。,"kanojo ga tegami wo kure ta no de , kanojo no ie wo tazuneru tema ga habuke ta .",Her letter saved me the trouble of visiting her house.
彼女が手を差し出したので、私はそれを握った。,"kanojo ga te wo sashidashi ta no de , watashi ha sore wo nigitsu ta .",She held out her hand and I shook it.
彼女は弱すぎる。,kanojo ha jaku sugiru .,She is no match for me.
彼女が自分の話の中で触れた場所に私は行ったことがある。,kanojo ga jibun no hanashi no naka de fure ta basho ni watashi ha itsu ta koto ga aru .,I have been to the place that she spoke about in her talk.
彼女が自分の才能を自慢するのももっともだ。,kanojo ga jibun no sainou wo jiman suru no mo mottomo da .,She may well take pride in her talent.
彼女が自分の古い服を恥ずかしがるのももっともだ。,kanojo ga jibun no furui fuku wo hazukashi garu no mo mottomo da .,She may well be ashamed of her old clothes.
彼女が自分の言ったことを後悔するときが来るだろう。,kanojo ga jibun no itsutsu ta koto wo koukai suru toki ga kuru darou .,The time will come when she will regret what she has said.
彼女が自分で彼に謝ることが望ましい。,kanojo ga jibun de kare ni ayamaru koto ga nozomashii .,It is desirable that she should apologize to him herself.
彼女が自分で書いたはずはない。,kanojo ga jibun de kai ta hazu ha nai .,She can't have written it herself.
彼女が自分で自分を嘲笑うのがわたしには魅力的だ。,kanojo ga jibun de jibun wo seserawarau no ga watashi ni ha miryoku teki da .,It's the way that she laughs at herself that endears her to me.
彼女が自分で行くことが必要です。,kanojo ga jibun de iku koto ga hitsuyou desu .,It is necessary that she should go herself.
彼女が自発的に止めるまで、放っておくことに私達は決めた。,"kanojo ga jihatsu teki ni yameru made , houtsutsu te oku koto ni watashi tooru ha kime ta .",We decided to let her alone until she stopped of her own accord.
彼女が自殺したというのは本当か。,kanojo ga jisatsu shi ta to iu no ha hontou ka .,Can it be true that she committed suicide?
彼女が自殺したということなどあり得ない。,kanojo ga jisatsu shi ta to iu koto nado ari e nai .,It is impossible that she should have killed herself.
彼女が時間通りに来るのは確かですか。,kanojo ga jikan touri ni kuru no ha tashika desu ka .,Are you sure of her coming on time?
彼女が時間どおりに来るかどうかは疑わしい。,kanojo ga jikan doori ni kuru ka dou ka ha utagawashii .,It is doubtful whether she will come on time.
彼女が時間どおりにやってくる望みはほとんどない。,kanojo ga jikan doori ni yatsu te kuru nozomi ha hotondo nai .,There is little hope that she will come on time.
彼女が試験に落ちたのは残念だ。,kanojo ga shiken ni ochi ta no ha zannen da .,I feel bad that she failed the examination.
彼女が試験に合格するのは間違いない。,kanojo ga shiken ni goukaku suru no ha machigai nai .,Her passing the exam is a sure thing.
彼女が私達の先生かもしれない。,kanojo ga watashi tooru no sensei ka mo shire nai .,She may be our teacher.
彼女が私達に加わるなんて、思ってもいなかった。,"kanojo ga watashi tooru ni kuwawaru nante , omotsu te mo i nakatsu ta .",I never expected that she would join us.
彼女が私を愛していると考えるなんて何と愚かなことなんだろう。,kanojo ga watashi wo itoshi te iru to kangaeru nante nani to oroka na koto na n darou .,What a fool I am to think that she loves me!
彼女が私をだますなんてとても考えられない。,kanojo ga watashi wo damasu nante totemo kangae rare nai .,I can't conceive of her deceiving me.
彼女が私の隣に座ってくれるといいのだが。,kanojo ga watashi no tonari ni suwatsu te kureru to ii no da ga .,I'd rather she sat next to me.
彼女が私の友達だったら、私はそうしないようにと彼女に忠告したのに。,"kanojo ga watashi no tomodachi datsu tara , watashi ha sou shi nai you ni to kanojo ni chuukoku shi ta no ni .","Had she been a friend of mine, I would have advised her not to do that."
彼女が私の母より年上だなんて信じられません。,kanojo ga watashi no haha yori toshiue da nante shinji rare mase n .,I can't believe that she is older than my mother.
彼女が私の勉強を妨げた。,kanojo ga watashi no benkyou wo samatage ta .,She hindered me in my study.
彼女が私の代役をしてくれるものと当てにしていた。,kanojo ga watashi no daiyaku wo shi te kureru mono to ate ni shi te i ta .,I reckoned on her to take my place.
彼女が私の住所を忘れたはずがない。,kanojo ga watashi no juusho wo wasure ta hazu ga nai .,She cannot have forgotten my address.
彼女が私のとなりに座ってくれればいいのだが。,kanojo ga watashi no tonari ni suwatsu te kurere ba ii no da ga .,I'd rather she sat next to me.
彼女が私に微笑んだ。,kanojo ga watashi ni hohoen da .,She smiled at me.
彼女が私に同意するのは当然だと私はみなした。,kanojo ga watashi ni doui suru no ha touzen da to watashi ha minashi ta .,I took it for granted that she would agree with me.
彼女が私に会いに来るかどうかは疑わしい。,kanojo ga watashi ni ai ni kuru ka dou ka ha utagawashii .,It is doubtful whether she will come to see me.
彼女が私にホームページのつくりかたを教えてくれた。,kanojo ga watashi ni hoomu peeji no tsukuri kata wo oshie te kure ta .,She taught me how to make a web site.
彼女が私にこのＣＤをくれた。,kanojo ga watashi ni kono cd wo kure ta .,She gave me this compact disc.
彼女が私といっしょに行きたがっているかどうか私は知りません。,kanojo ga watashi to issho ni iki tagatsu te iru ka dou ka watashi ha shiri mase n .,I don't know if she wants to go with me.
彼女が私たちにフランス語を教えてくれる。,kanojo ga watashi tachi ni furansu go wo oshie te kureru .,French is taught us by her.
彼女が死人のように顔色が悪いのは長患いのせいだ。,kanojo ga shinin no you ni kaoiro ga warui no ha nagawazurai no sei da .,Her deathly paleness is due to long illness.
彼女が死んだと言う知らせはうそだ。,kanojo ga shin da to iu shirase ha uso da .,The news that she died is false.
彼女が死んだといううわさは結局誤りであることがわかった。,kanojo ga shin da to iu uwasa ha kekkyoku ayamari de aru koto ga wakatsu ta .,The rumor of her death turned out false.
彼女が死んだことを誰があなたに知らせたのですか。,kanojo ga shin da koto wo dare ga anata ni shira se ta no desu ka .,Who broke the news of her death to you?
彼女が思いやりのあることは誰でも分かる。,kanojo ga omoiyari no aru koto ha dare de mo wakaru .,Everyone can tell she is thoughtful.
彼女が子供の頃のことを言うのをよく耳にする。,kanojo ga kodomo no goro no koto wo iu no wo yoku mimi ni suru .,I often hear her refer to her childhood.
彼女が子供の頃から良く知っている。,kanojo ga kodomo no goro kara yoku shitsu te iru .,I have known her since she was a little girl.
彼女が子供だったときから私は彼女を知っている。,kanojo ga kodomo datsu ta toki kara watashi ha kanojo wo shitsu te iru .,I have known her since she was a little girl.
彼女が姿を見せることは確実だ。,kanojo ga sugata wo miseru koto ha kakujitsu da .,She is certain to turn up.
彼女が賛成するかどうかが問題だ。,kanojo ga sansei suru ka dou ka ga mondai da .,Whether she agrees or not is the question.
彼女が賛成するかどうか、明らかではない。,"kanojo ga sansei suru ka dou ka , akiraka de ha nai .",Whether she will agree or not is not clear.
彼女が散々してやった挙げ句の果てが忘恩だった。,kanojo ga sanzan shi te yatsu ta ageku no hate ga bouon datsu ta .,All she got for her pains was ingratitude.
彼女が昨夜来ていたら良かったのに。,kanojo ga sakuya rai te i tara yokatsu ta no ni .,I wish she had come last night.
彼女が昨日話してくれたことは、罪のない嘘だった。,"kanojo ga kinou hanashi te kure ta koto ha , tsumi no nai uso datsu ta .",What she told me yesterday is a white lie.
彼女が作ったケーキを試食した。,kanojo ga tsukutsu ta keeki wo shishoku shi ta .,I tasted the cake she cooked.
彼女が財産を築けたのは勤勉と幸運のおかげである。,kanojo ga zaisan wo kizuke ta no ha kinben to kouun no okage de aru .,Her ability to amass a fortune is due to luck and hard work.
彼女が罪を認めるか否かは問題ではない。,kanojo ga tsumi wo mitomeru ka hi ka ha mondai de ha nai .,It doesn't matter whether she admits her guilt or not.
彼女が歳取っていることを考慮に入れなければならない。,kanojo ga toshi totsu te iru koto wo kouryo ni ire nakere ba nara nai .,We must take into account the fact that she is old.
彼女が最初に来たのにはびっくりした。,kanojo ga saisho ni rai ta no ni ha bikkuri shi ta .,To my amazement she came first.
